driver_id,driver_name,age,city,phone,email,platform,vehicle_type,vehicle_condition,experience_level,preferred_shift,reason_for_joining,languages_known,overall_driver_rating,total_trips_completed,trip_completion_rate_%,cancellation_rate_%,avg_daily_earnings_INR,total_complaints,total_compliments,peak_hour_availability,interview_date,communication_score_10,driving_test_score_10,route_knowledge_score_10,customer_handling_score_10,overall_interview_score_10,document_verification,background_check_status,interview_result,rejection_reason,onboarding_date,is_currently_active
DRV049456,Pradeep Nair,39,Delhi,9222863825,pradeep.nair@rediffmail.com,Uber,sedan,,unknown,DAY,,Telugu,3.9,NULL,60.0,6.3,1837,45,7,no,NULL,9.5,7.1,6.7,10.6,N/A,FAIL,clear,On Hold,None,NULL,yes
DRV036623,amit yadav,41,Bangalore,+91-9906456791,,uber,Mini ,excellent,NULL,,,Hindi,5.5,2193,,29.5,2456,31,13,No,January 2023,6.6,6.4,3.8,4.3,5.3,Fail,,Selected,N/A,01-03-2023,1
DRV014865,Suresh Patel,27,AHMEDABAD,9560272545,suresh.patel@yahoo.com,ola,Auto,GOOD,Fresher,Night ,,"Bengali, Marathi",3.9,2634,N/A,25.8,,17,60,YES,20 May 2022,11.1,5.1,N/A,5.3,6.3,NULL,pending,Selected,N/A,10 June 2022,0
DRV047977,sunil patel,50,Bangalore,9025569,NULL,Rapido,Mini ,good,5+ yrs,DAY,none,"Telugu, Hindi",4.6,7135,61.6,32.8,1088,3,54,NO,2021/07/11,6.5,N/A,4.9,7.9,6.9,,Flagged,On Hold,N/A,N/A,N
DRV030928,Pankaj Nair,N/A,Hyderabad,9696502681,pankaj.nair@yahoo.com,Uber,BIKE,Average,3-5 yrs,DAY,Flexible hours,"Tamil, Bengali, Kannada",-1.7,2828,79.0,33.6,1324,44,89,YES,NULL,11.1,7.0,9.8,7.7,NULL,,pending,Rejected,N/A,2021/09/11,True
NULL,Naveen Dubey,-42,Kolkata,9392124428,naveen.dubey@hotmail.com,UBER,BIKE,GOOD,0-1 yr,day,Flexible hours,"Marathi, Gujarati",4.5,2293,93.5,27.1,1786,40,17,N,17.01.2024,6.3,,6.3,,6.1,pending,FLAGGED,Rejected,Low rating history,N/A,True
DRV037670,Vikram Jha,52,Chennai,9982051396,vikram.jha@gmail.com,Uber ,BIKE,GOOD,1-3 yrs,Night,Family pressure,"Tamil, Bengali, Gujarati",3.1,2989,66.4,25.8,1758,38,99,N,02-01-2021,8.5,7.0,-0.3,3.8,6.5,none,unknown,Rejected,Incomplete documents,N/A,True
DRV046432,GIRISH TRIPATHI,55,AHMEDABAD,9961126419,girish.tripathi@gmail.com,Rapido,SUV,Average,0-1 yr,,Extra income,Hindi,4.4,6526,76.3,5.5,1478,14,69,yes,15-12-2023,6.3,N/A,10.7,5.3,6.1,,,Rejected,NULL,N/A,true
DRV039646,DEEPAK PATEL,28,lucknow,+91-9586977218,deepak.patel@@gmail.com,uber,Mini,poor,0-1 yr,NIGHT,Side hustle,"Telugu, Gujarati",3.1,5689,86.3,1.2,819,13,42,yes,2023-06-25T00:00:00Z,N/A,11.0,9.4,3.2,7.5,Fail,clear,Rejected,Vehicle age too old,-,1
DRV000848,ramesh reddy,53,Jaipur,9491006079,N/A,Uber ,N/A,excellent,0-1 yr,,Lost previous job,"Marathi, Tamil, Kannada",4.2,1498,69.1,24.2,2178,27,1,YES,2024-01-26T00:00:00Z,6.3,7.6,12.4,N/A,6.0,pass,Clear,Rejected,,NULL,True
DRV011695,Lokesh Rao,N/A,Jaipur,9941404,lokesh.rao@yahoo.com,Uber & Rapido,suv,avg,5+ yrs,Both,,Kannada,4.0,4484,-0.6,10.2,1944,25,100,true,21.03.2023,4.4,5.7,4.6,,5.2,N/A,FLAGGED,Selected,N/A,17.05.2023,yes
DRV012592,santosh nair,21,Ahmedabad,9144108353,santosh.nair@rediffmail.com,Uber & Rapido,Sedan,,1-3 yrs,N/A,Family pressure,"Telugu, Marathi",4.9,7858,87.3,32.8,482,99999,79,N,2021-08-13T00:00:00Z,4.2,12.2,5.0,7.5,-1.3,unknown,clear,Selected,N/A,23 August 2021,False
DRV013806,BHARAT MISHRA,29,Chennai,XXXXXXXXXX,bharat.mishra@rediffmail.com,uber,sedan,GOOD,Fresher,day,N/A,"Gujarati, Telugu, Hindi",3.9,7601,,33.9,814,,99999,1,23 November 2021,3.4,9.1,4.2,4.6,5.3,Fail,,REJECTED,N/A,2022/01/14,False
DRV005318,ajay sharma,22,Lucknow,9392257675,ajay.sharma@rediffmail.com,Uber ,BIKE,N/A,1-3 yrs,Both,Extra income,"Hindi, English",3.0,4169,78.9,19.4,2036,12,N/A,YES,10/08/23,7.2,8.8,6.2,8.9,7.8,Pending,N/A,,N/A,-,0
DRV021828,Pankaj Singh,51,Hyderabad,+91-9442223842,pankaj.singh@hotmail.com,RAPIDO,sedan,GOOD,0-1 yr,Night,,"Tamil, Bengali, Kannada",3.4,2266,101.5,22.8,2255,40,77,yes,November 2023,7.5,7.5,N/A,6.2,6.9,Fail,FLAGGED,N/A,Poor communication,NULL,YES
DRV041830,Amit Singh,46,Pune,99562-72231,amit.singh@rediffmail.com,RAPIDO,Sedan,Average,3-5 yrs,NIGHT,N/A,"Telugu, Kannada, Tamil",3.2,2161,94.2,34.4,851,2,80,False,2023/04/13,7.7,5.1,3.9,5.7,5.6,Unknown,Flagged,On Hold,N/A,-,No
DRV028210,Suresh Mishra,23 yrs,Hyderabad,9661893547,suresh.mishra@@rediffmail.com,uber,Auto,good,1-3 yrs,both,Full time job,None,3.2,7599,81.4,1.2,858,31,13,yes,10-06-2022,10.5,6.2,4.2,,6.3,N/A,pending,On Hold,N/A,N/A,NO
DRV019291,Anil Chaudhary,28,Ahmedabad,9668121206,,Rapido,SUV,GOOD,0-1 yr,day,Family pressure,"Tamil, Telugu, Marathi",5.5,1189,84.1,7.0,1905,12,89,yes,2023-11-20T00:00:00Z,9.1,8.3,3.6,3.7,6.2,Pass,none,Rejected,N/A,N/A,true
DRV033441,Lokesh Reddy,21,Ahmedabad,9580336596,lokesh.reddy@gmail.com,rapido,Bike,,1-3 yrs,,,NULL,4.9,99999,83.9,18.2,702,31,29,false,17-04-2022,8.1,8.1,3.2,NULL,6.9,N/A,pending,On Hold,N/A,,No
DRV034447,Suresh Dubey,36,Jaipur,9977665631,suresh.dubey@yahoo.com,Rapido ,NA,Average,1-3 yrs,,Lost previous job,Hindi,3.1,3133,66.2,102.4,1071,6,N/A,0,2022/06/16,4.3,4.6,10.0,-0.9,6.0,pass,Flagged,On Hold,N/A,NULL,False
N/A,Harish Yadav,N/A,pune,N/A,harish.yadav@@yahoo.com,Uber,Bike,Good,3-5 yrs,both,,"Tamil, Telugu, Hindi",3.0,6674,83.6,11.9,1673.00,35,NULL,False,12 February 2024,6.3,4.0,3.5,8.9,5.7,,FLAGGED,REJECTED,-,NULL,No
DRV032212,Manoj Sharma,25,Ahmedabad,9746107877,manoj.sharma@hotmail.com,Uber ,Bike,Poor,3-5 yrs,Night ,Full time job,"Gujarati, Marathi, Hindi",-1.0,5724,73.6,26.7,1710,99999,49,Y,May 2021,3.8,7.2,3.8,NULL,6.0,FAIL,Clear,Selected,N/A,07/04/21,True
DRV009319,Yogesh Reddy,32,Bangalore,9898857580,NULL,Uber & Rapido,Mini,,0-1 yr,Night,unknown,"English, Bengali, Kannada",5.2,1971,83.0,NULL,Rs.1933,48,84,false,03/06/21,5.4,8.0,6.8,4.7,6.2,Pending,N/A,Rejected,Poor communication,N/A,yes
DRV011973,Yogesh Tiwari,40,Lucknow,9981919,,None,Bike,N/A,3-5 yrs,N/A,Full time job,Telugu,5.7,7540,91.3,11.0,2481,18,48,N,25-01-2023,4.1,5.5,6.0,4.2,5.0,pass,FLAGGED,On Hold,N/A,,N
DRV047942,Ajay Yadav,29,Lucknow,9270610169,ajay.yadav@@hotmail.com,Uber,SUV,Poor,5+ yrs,Night ,Extra income,"Gujarati, English, Telugu",4.6,-7960,74.7,N/A,1076.00,12,70,true,September 2023,5.6,4.6,9.5,5.7,6.3,Pass,pending,On Hold,N/A,N/A,Yes
DRV022581,VIKRAM TIWARI,28,Jaipur,NULL,vikram.tiwarirediffmail.com,Uber,BIKE,good,5+ yrs,Day,Full time job,"Hindi, Kannada, Gujarati",3.0,N/A,97.6,N/A,Rs.1803,8,15,NO,NULL,3.9,5.5,6.5,6.2,5.5,pending,FLAGGED,Selected,N/A,11 November 2021,false
DRV029370,Rakesh Singh,unknown,Chennai,9573285520,rakesh.singh@yahoo,uber,Bike,avg,0-1 yr,Both,,"Hindi, Telugu",3.6,2326,74.8,-0.8,1131,13,,true,12.08.2022,8.1,9.7,9.9,-1.6,7.7,N/A,NULL,On Hold,,N/A,false
DRV021323,BHARAT NAIR,47,delhi,9819421023,bharat.nair@yahoo.com,UBER,Mini,Average,na,Day,Extra income,English,2.9,5109,72.3,23.6,1529/-,43,62,N,,5.4,10.9,12.4,6.2,5.5,,unknown,Unknown,Background check failed,NULL,False
DRV012975,Naresh Dubey,54,Lucknow,9142951550,naresh.dubey@@gmail.com,Rapido,unknown,Good,3-5 yrs,Unknown,none,"Telugu, Hindi, Marathi",3.9,3625,83.2,31.9,,38,14,1,,6.3,4.2,7.4,8.8,6.7,Pending,FLAGGED,Rejected,Vehicle age too old,,0
DRV012601,RAMESH GUPTA,-49,Hyderabad,NULL,ramesh.gupta@hotmail.com,uber,None,Good,0-1 yr,,Side hustle,"Hindi, Telugu",unrated,6098,,4.6,969,34,59,NO,11/20/22,N/A,9.5,7.7,-0.6,6.8,FAIL,pending,Selected,N/A,01-12-2022,0
DRV024079,Harish Kumar,28,Chennai,XXXXXXXXXX,harish.kumar@rediffmail.com,Uber ,Mini,Average,3-5 yrs,both,,Tamil,3.3,280,74.2,-1.4,Rs.788,38,96,Yes,NULL,6.1,4.9,4.9,4.1,5.0,pending,Flagged,Rejected,Vehicle age too old,,Y
DRV018432,santosh verma,33,Pune,9638149708,santosh.verma@yahoo.com,Rapido,sedan,poor,3-5 yrs,Night ,Not disclosed,"Bengali, Gujarati, Tamil",NULL,6857,76.5,9.8,960,22,40,0,02/19/24,8.6,5.8,3.2,8.9,6.6,Pass,Pending,Selected,N/A,2024-04-09T00:00:00Z,true
DRV038358,Vikram Rao,54,Chennai,9969452524,vikram.rao@yahoo.com,,Bike,poor,Fresher,DAY,Side hustle,"Hindi, Kannada, Bengali",4.1,6540,89.6,N/A,964,31,26,yes,02/18/22,9.1,8.9,3.0,3.8,6.2,,N/A,Rejected,Low rating history,,false
DRV009172,Umesh Chaudhary,34,HYDERABAD,XXXXXXXXXX,umesh.chaudhary@yahoo.com,RAPIDO,Mini ,Poor,0-1 yr,,Not disclosed,"Gujarati, Marathi, Hindi",3.5,5681,91.9,,1027/-,33,24,NO,15.11.2023,8.3,5.0,7.1,6.5,N/A,Fail,,On Hold,N/A,NULL,No
DRV005275,SURESH SHARMA,51,Mumbai,9798474317,suresh.sharma@hotmail.com,ola,suv,good,1-3 yrs,Both,Extra income,"Hindi, English, Marathi",4.3,4505,65.9,13.7,1064,99999,52,no,2021/02/09,8.8,6.9,N/A,6.2,6.9,,N/A,Rejected,Incomplete documents,NULL,no
DRV012733,  Pankaj Singh  ,25,Kolkata,9265100471,pankaj.singh@yahoo.com,UBER,SUV,Average,5+ yrs,Night ,Extra income,"Gujarati, Tamil",3.9,17,65.7,1.4,1665,27,24,1,09/26/23,8.8,9.1,10.3,6.8,10.7,Fail,Pending,On Hold,N/A,NULL,1
DRV017986,  Yogesh Tiwari  ,55,Delhi,9211143703,yogesh.tiwari@gmail.com,UBER,Mini,N/A,3-5 yrs,DAY,N/A,"Gujarati, Marathi",4.7,99999,90.9,24.7,Rs.1948,41,41,No,08-08-2022,8.4,-0.6,7.0,3.7,7.2,-,Pending,on hold,N/A,08/20/22,No
DRV028962,Rakesh Rao,25,Pune,9825892409,rakesh.rao@yahoo.com,Uber,Bike,GOOD,5+ yrs,n/a,Side hustle,"Bengali, English, Kannada",4.8,N/A,63.0,31.9,1845,5,99999,yes,2024-02-21T00:00:00Z,9.7,NULL,9.6,6.4,7.4,Pending,FLAGGED,Selected,N/A,March 2024,No
DRV037784,  Hitesh Chaudhary  ,26,Delhi,9938240,hitesh.chaudhary@yahoo.com,UBER,auto,avg,0-1 yr,DAY,Not disclosed,"Tamil, Telugu",4.4,1569,66.4,13.9,Rs.940,22,NULL,Yes,2021/07/28,8.2,6.4,10.2,6.3,7.4,pass,,Selected,N/A,03.09.2021,yes
DRV043604,Ajay Mishra,30,Bangalore,9058319207,ajay.mishra@yahoo.com,Uber ,Mini ,Excellent,1-3 yrs,both,Lost previous job,"Kannada, Tamil, Gujarati",2.5,486,63.1,20.3,673,99999,48,true,2022-03-07T00:00:00Z,9.9,4.1,6.1,9.8,7.5,,N/A,On Hold,NULL,,Y
DRV002953,Amit Nair,35,Mumbai,N/A,amit.nair@@yahoo.com,Uber ,sedan,Excellent,3-5 yrs,both,none,"Telugu, Bengali",3.7,77,102.9,26.1,585,44,24,YES,2022/10/30,N/A,6.5,7.4,6.7,7.2,,N/A,On Hold,N/A,NULL,0
DRV009723,pradeep kumar,51,Jaipur,+91-9310301447,pradeep.kumar@@gmail.com,RAPIDO,suv,avg,5+ yrs,Night,Family pressure,"Bengali, Marathi, Hindi",2.7,5295,97.1,26.9,-559,49,99999,No,2021-11-03T00:00:00Z,9.9,4.5,3.3,7.0,N/A,Fail,Clear,N/A,none,-,true
,Ravi Chauhan,34,Pune,+91-9832483053,ravi.chauhan@hotmail.com,unknown,BIKE,unknown,Fresher,Night,Family pressure,Bengali,2.8,NULL,75.2,11.3,N/A,34,61,no,03/21/24,7.8,9.8,3.4,N/A,6.7,pending,Clear,Selected,N/A,2024/04/30,Yes
DRV034925,AMIT CHAUDHARY,23,Chennai,9897971409,amit.chaudhary@yahoo.com,Uber ,suv,GOOD,3-5 yrs,DAY,none,"Kannada, Marathi",2.7,1595,65.9,13.4,1533,,83,true,2022/01/31,8.8,5.4,8.0,N/A,7.3,pending,FLAGGED,Selected,N/A,26 February 2022,no
DRV020161,Lokesh Nair,N/A,AHMEDABAD,9350299,lokesh.nair@hotmail.com,RAPIDO,suv,,Fresher,Day,Flexible hours,English,2.5,3337,83.2,22.9,575,15,NULL,true,,4.7,7.4,6.8,9.5,11.6,,None,Rejected,Failed driving test,,0
DRV044477,Pankaj Tripathi,N/A,Delhi,9299349282,,Uber & Rapido,SUV,Excellent,,Unknown,Full time job,"Telugu, Tamil",6.0,4796,85.7,11.5,1730,1,88,yes,2023-09-21T00:00:00Z,7.8,4.8,,8.3,6.5,Pass,Pending,,Poor communication,N/A,No
DRV018571,Vijay Nair,48,Mumbai,97170-83068,,Uber ,Auto,N/A,5+ yrs,N/A,N/A,Telugu,3.4,860,98.0,6.2,1301,39,47,false,January 2021,10.7,4.4,3.2,3.1,4.2,FAIL,Pending,selected,Low rating history,,False
DRV014637,Harish Tripathi,48,Ahmedabad,9982007269,harish.tripathi@rediffmail.com,RAPIDO,Bike,Good,,Night,NA,English,4.4,,94.8,31.2,1480,3,NULL,0,2021-08-26T00:00:00Z,9.5,6.3,4.0,9.4,7.3,FAIL,,selected,N/A,2021-10-22T00:00:00Z,N
DRV004021,Rajesh Shukla,-47,Mumbai,9566498080,rajesh.shukla@rediffmail.com,Rapido ,Mini ,,Fresher,Both,Flexible hours,"English, Tamil, Bengali",3.3,1347,97.1,20.1,496,1,23,Y,2021/04/13,9.6,10.9,,6.6,8.1,pending,Flagged,Rejected,N/A,NULL,false
DRV035703,Anil Rao,49,Kolkata,9120494293,NULL,RAPIDO,auto,N/A,Unknown,NIGHT,Full time job,"Telugu, Marathi",4.4,7141,102.5,18.9,Rs.651,35,24,true,31-10-2021,5.4,-1.3,9.9,4.9,10.6,Fail,FLAGGED,On Hold,N/A,-,Yes
DRV038992,Naveen Pandey,39,Pune,9796194258,naveen.pandey@yahoo.com,uber,BIKE,excellent,5+ yrs,,Full time job,,4.9,3589,80.9,5.1,1836,9,,1,25.05.2022,9.1,6.4,10.3,9.1,10.5,pending,clear,none,na,28-06-2022,0
DRV029638,Naveen Pandey,21,Kolkata,9492805605,naveen.pandey@hotmail.com,uber,Mini ,poor,5+ yrs,DAY,Lost previous job,Kannada,3.6,5624,N/A,23.8,696,43,99999,True,28.10.2023,6.8,4.2,3.9,11.4,5.0,Fail,FLAGGED,Rejected,,-,YES
DRV034222,Naveen Nair,43,Kolkata,+91-9709273610,N/A,RAPIDO,auto,good,1-3 yrs,both,Lost previous job,"Bengali, Hindi",3.7,4499,84.0,N/A,1808,31,99999,True,2021/01/26,N/A,8.0,4.7,7.3,6.9,pass,None,Rejected,none,N/A,0
DRV008529,Sunil Gupta,26,Chenna,9787773325,sunil.gupta@gmail.com,NULL,BIKE,Good,Fresher,,Extra income,Telugu,6.0,7050,98.3,19.1,Rs.1139,14,54,true,2023/09/12,3.2,9.2,4.5,7.4,6.1,pending,N/A,On Hold,N/A,,No
